time	V(n003)
5.385748152795505e-03	9.972742e-01
5.395513777795504e-03	9.971480e-01
5.405279402795504e-03	9.970275e-01
5.415045027795504e-03	9.969126e-01
5.424810652795504e-03	9.968038e-01
5.434576277795504e-03	9.967012e-01
5.444341902795503e-03	9.966052e-01
5.454107527795503e-03	9.965157e-01
5.463873152795503e-03	9.964330e-01
5.473638777795503e-03	9.963572e-01
5.483404402795503e-03	9.962884e-01
5.493170027795502e-03	9.962267e-01
5.512701277795502e-03	9.961247e-01
5.532232527795502e-03	9.960512e-01
5.551763777795501e-03	9.960060e-01
5.571295027795501e-03	9.959884e-01
5.590826277795500e-03	9.959975e-01
5.610357527795500e-03	9.960319e-01
5.629888777795499e-03	9.960902e-01
5.649420027795499e-03	9.961705e-01
5.668951277795499e-03	9.962708e-01
5.688482527795498e-03	9.963889e-01
5.708013777795498e-03	9.965227e-01
5.727545027795497e-03	9.966695e-01
5.747076277795497e-03	9.968270e-01
5.776373152795496e-03	9.970777e-01
5.805670027795496e-03	9.973384e-01
5.834966902795495e-03	9.976007e-01
5.903326277795494e-03	9.981781e-01
5.913091902795493e-03	9.982530e-01
5.922857527795493e-03	9.983253e-01
5.932623152795493e-03	9.983950e-01
5.942388777795493e-03	9.984618e-01
5.952154402795493e-03	9.985256e-01
5.961920027795492e-03	9.985862e-01
5.971685652795492e-03	9.986435e-01
5.981451277795492e-03	9.986973e-01
5.991216902795492e-03	9.987477e-01
6.000982527795492e-03	9.987944e-01
6.010748152795491e-03	9.988375e-01
6.020513777795491e-03	9.988769e-01
6.030279402795491e-03	9.989125e-01
6.040045027795491e-03	9.989442e-01
6.059576277795490e-03	9.989963e-01
6.079107527795490e-03	9.990330e-01
6.098638777795489e-03	9.990546e-01
6.118170027795489e-03	9.990615e-01
6.137701277795489e-03	9.990542e-01
6.157232527795488e-03	9.990335e-01
6.176763777795488e-03	9.990003e-01
6.196295027795487e-03	9.989554e-01
6.215826277795487e-03	9.989002e-01
6.235357527795487e-03	9.988356e-01
6.254888777795486e-03	9.987629e-01
6.274420027795486e-03	9.986835e-01
6.303716902795485e-03	9.985548e-01
6.333013777795484e-03	9.984183e-01
6.362310652795484e-03	9.982787e-01
6.373471367081198e-03	9.982251e-01
6.384632081366912e-03	9.981724e-01
6.395792795652626e-03	9.981206e-01
6.406953509938340e-03	9.980696e-01
6.418114224224054e-03	9.980196e-01
6.429274938509768e-03	9.979705e-01
6.440435652795482e-03	9.979222e-01
6.459966902795482e-03	9.978425e-01
6.469732527795482e-03	9.978046e-01
6.479498152795481e-03	9.977683e-01
6.489263777795481e-03	9.977336e-01
6.499029402795481e-03	9.977005e-01
6.508795027795481e-03	9.976691e-01
6.518560652795480e-03	9.976395e-01
6.528326277795480e-03	9.976118e-01
6.538091902795480e-03	9.975859e-01
6.547857527795480e-03	9.975620e-01
6.557623152795480e-03	9.975401e-01
6.567388777795479e-03	9.975202e-01
6.577154402795479e-03	9.975023e-01
6.596685652795479e-03	9.974726e-01
6.616216902795478e-03	9.974512e-01
6.635748152795478e-03	9.974378e-01
6.655279402795478e-03	9.974324e-01
6.674810652795477e-03	9.974346e-01
6.694341902795477e-03	9.974442e-01
6.713873152795476e-03	9.974605e-01
6.733404402795476e-03	9.974831e-01
6.752935652795476e-03	9.975115e-01
6.772466902795475e-03	9.975451e-01
6.791998152795475e-03	9.975831e-01
6.811529402795474e-03	9.976249e-01
6.831060652795474e-03	9.976697e-01
6.860357527795473e-03	9.977412e-01
6.889654402795473e-03	9.978155e-01
6.918951277795472e-03	9.978905e-01
6.987310652795471e-03	9.980555e-01
6.997076277795470e-03	9.980769e-01
7.006841902795470e-03	9.980975e-01
7.016607527795470e-03	9.981174e-01
7.026373152795470e-03	9.981365e-01
7.036138777795469e-03	9.981548e-01
7.045904402795469e-03	9.981721e-01
7.055670027795469e-03	9.981885e-01
7.065435652795469e-03	9.982039e-01
7.075201277795469e-03	9.982183e-01
7.084966902795468e-03	9.982317e-01
7.094732527795468e-03	9.982440e-01
7.104498152795468e-03	9.982553e-01
7.114263777795468e-03	9.982654e-01
7.124029402795468e-03	9.982746e-01
7.143560652795467e-03	9.982895e-01
7.163091902795467e-03	9.983000e-01
