time	V(n003)
4.441817177478568e-03	9.980071e-01
4.461348427478568e-03	9.980046e-01
4.480879677478567e-03	9.980023e-01
4.490645302478567e-03	9.980013e-01
4.500410927478567e-03	9.980003e-01
4.510176552478567e-03	9.979994e-01
4.519942177478566e-03	9.979987e-01
4.529707802478566e-03	9.979979e-01
4.539473427478566e-03	9.979972e-01
4.549239052478566e-03	9.979966e-01
4.559004677478566e-03	9.979961e-01
4.568770302478565e-03	9.979956e-01
4.578535927478565e-03	9.979951e-01
4.588301552478565e-03	9.979948e-01
4.598067177478565e-03	9.979945e-01
4.607832802478565e-03	9.979942e-01
4.617598427478564e-03	9.979940e-01
4.627364052478564e-03	9.979938e-01
4.637129677478564e-03	9.979937e-01
4.646895302478564e-03	9.979936e-01
4.656660927478564e-03	9.979936e-01
4.666426552478563e-03	9.979936e-01
4.676192177478563e-03	9.979937e-01
4.685957802478563e-03	9.979938e-01
4.695723427478563e-03	9.979939e-01
4.715254677478562e-03	9.979942e-01
4.734785927478562e-03	9.979946e-01
4.754317177478561e-03	9.979951e-01
4.773848427478561e-03	9.979957e-01
4.793379677478561e-03	9.979963e-01
4.812910927478560e-03	9.979970e-01
4.842207802478560e-03	9.979980e-01
4.871504677478559e-03	9.979991e-01
4.885455570335702e-03	9.979996e-01
4.899406463192844e-03	9.980000e-01
4.913357356049987e-03	9.980005e-01
4.927308248907129e-03	9.980010e-01
4.941259141764272e-03	9.980014e-01
4.955210034621414e-03	9.980018e-01
4.969160927478557e-03	9.980022e-01
4.983111820335700e-03	9.980026e-01
4.997062713192842e-03	9.980030e-01
5.011013606049984e-03	9.980033e-01
5.024964498907127e-03	9.980036e-01
5.038915391764270e-03	9.980039e-01
5.052866284621412e-03	9.980042e-01
5.066817177478555e-03	9.980044e-01
5.076582802478555e-03	9.980046e-01
5.086348427478554e-03	9.980047e-01
5.096114052478554e-03	9.980049e-01
5.105879677478554e-03	9.980050e-01
5.115645302478554e-03	9.980051e-01
5.125410927478554e-03	9.980052e-01
5.135176552478553e-03	9.980053e-01
5.144942177478553e-03	9.980053e-01
5.154707802478553e-03	9.980054e-01
5.164473427478553e-03	9.980055e-01
5.174239052478553e-03	9.980056e-01
5.184004677478552e-03	9.980056e-01
5.193770302478552e-03	9.980056e-01
